YEAR,STATE_1,STATEA,COUNTY_1,COUNTYA,GlobD90,GlobG90
1990,Pennsylvania,420,York,1330,,Immigrant minority
1990,Kansas,200,Sherman,1810,,Immigrant minority
1990,North Carolina,370,Onslow,1330,,Immigrant minority
1990,Montana,300,Gallatin,310,,Immigrant minority
1990,New Jersey,340,Ocean,290,,Immigrant minority
1990,Texas,480,Uvalde,4630,,Immigrant minority
1990,Mississippi,280,Bolivar,110,,White/Black
1990,Oklahoma,400,Caddo,150,,
1990,West Virginia,540,Morgan,650,,White
1990,Illinois,170,Kendall,930,,Immigrant minority
1990,Minnesota,270,Dakota,370,,Immigrant minority
1990,Texas,480,Goliad,1750,,
1990,Kansas,200,Miami,1210,,White
1990,Louisiana,220,Beauregard,110,,White/Black
1990,Pennsylvania,420,Venango,1210,,White
1990,Texas,480,Bee,250,,Immigrant minority
1990,Virginia,510,Lee,1050,,White
1990,North Carolina,370,Washington,1870,,White/Black
1990,Texas,480,Llano,2990,,Immigrant minority
1990,New York,360,Ontario,690,,Immigrant minority
1990,Ohio,390,Brown,150,,White
1990,Illinois,170,Madison,1190,,Immigrant minority
1990,Utah,490,Wayne,550,,White
1990,New York,360,Yates,1230,,White
1990,Texas,480,Dewitt,1230,,
1990,Kentucky,210,Calloway,350,,White/Black
1990,Louisiana,220,Madison,650,,White/Black
1990,Missouri,290,Jasper,970,,Immigrant minority
1990,Pennsylvania,420,Schuylkill,1070,,White
1990,Nebraska,310,Webster,1810,,White
1990,Minnesota,270,Cottonwood,330,,Immigrant minority
1990,Indiana,180,Randolph,1350,,White
1990,Illinois,170,Adams,10,,White/Black
1990,Texas,480,Calhoun,570,,Immigrant minority
1990,South Dakota,460,Corson,310,,White
1990,Virginia,510,Winchester City,8400,,Immigrant minority
1990,Virginia,510,Williamsburg City,8300,,Immigrant minority
1990,Louisiana,220,Richland,830,,White/Black
1990,Alabama,10,Shelby,1170,,Immigrant minority
1990,Washington,530,Grant,250,,Immigrant minority
1990,Georgia,130,Dooly,930,,White/Black
1990,South Dakota,460,Pennington,1030,,Immigrant minority
1990,Ohio,390,Perry,1270,,White
1990,Oklahoma,400,McClain,870,,Immigrant minority
1990,Oklahoma,400,Marshall,950,,Immigrant minority
1990,Iowa,190,O Brien,1410,,White
1990,Pennsylvania,420,Crawford,390,,White
1990,Mississippi,280,Clarke,230,,White/Black
1990,Minnesota,270,Hubbard,570,,White
1990,New Mexico,350,Grant,170,,Immigrant minority
1990,Georgia,130,Macon,1930,,White/Black
1990,Texas,480,Armstrong,110,,Immigrant minority
1990,Utah,490,Iron,210,,Immigrant minority
1990,South Carolina,450,Union,870,,White/Black
1990,Virginia,510,King And Queen,970,,White/Black
1990,Illinois,170,Brown,90,,
1990,West Virginia,540,Jefferson,370,,White/Black
1990,Missouri,290,St Louis City,5100,,Immigrant minority
1990,Iowa,190,Taylor,1730,,White
1990,Minnesota,270,Sherburne,1410,,White
1990,Indiana,180,Vigo,1670,,Immigrant minority
1990,Oklahoma,400,Custer,390,,Immigrant minority
1990,Tennessee,470,Houston,830,,White/Black
1990,Texas,480,Nacogdoches,3470,,Immigrant minority
1990,Kansas,200,Franklin,590,,Immigrant minority
1990,Wisconsin,550,Grant,430,,White
1990,Georgia,130,Chattooga,550,,White/Black
1990,Alabama,10,Macon,870,,Other
1990,Arkansas,50,Searcy,1290,,White
1990,Ohio,390,Monroe,1110,,White
1990,California,60,San Bernardino,710,,Immigrant minority
1990,North Carolina,370,Orange,1350,,Immigrant minority
1990,Indiana,180,Gibson,510,,White
1990,Nebraska,310,Valley,1750,,White
1990,New York,360,Steuben,1010,,Immigrant minority
1990,Georgia,130,Lanier,1730,,White/Black
1990,Texas,480,Hopkins,2230,,
1990,North Carolina,370,Cabarrus,250,,White/Black
1990,Texas,480,Zapata,5050,,Other
1990,Iowa,190,Muscatine,1390,,Immigrant minority
1990,Ohio,390,Belmont,130,,White
1990,Illinois,170,Crawford,330,,White
1990,Kentucky,210,Butler,310,,White
1990,Alabama,10,Cullman,430,,White
1990,Texas,480,San Patricio,4090,,Immigrant minority
1990,Tennessee,470,Roane,1450,,White/Black
1990,Texas,480,Randall,3810,,Immigrant minority
1990,Mississippi,280,Quitman,1190,,White/Black
1990,Iowa,190,Decatur,530,,Immigrant minority
1990,Mississippi,280,Wilkinson,1570,,White/Black
1990,Kentucky,210,Pendleton,1910,,White
1990,Texas,480,Tyler,4570,,White/Black
1990,South Carolina,450,Bamberg,90,,White/Black
1990,Kansas,200,Anderson,30,,White
1990,Massachusetts,250,Hampden,130,,Immigrant minority
1990,North Dakota,380,Bowman,110,,White
1990,North Dakota,380,Divide,230,,White
1990,Texas,480,Johnson,2510,,
1990,Texas,480,Sterling,4310,,Immigrant minority
1990,Florida,120,Flagler,350,,Immigrant minority
1990,Montana,300,Toole,1010,,White
1990,South Dakota,460,Grant,510,,White
1990,Alabama,10,Calhoun,150,,Immigrant minority
1990,Minnesota,270,Stevens,1490,,Immigrant minority
1990,Kentucky,210,Marion,1550,,White/Black
1990,Oklahoma,400,Lincoln,810,,White/Black
1990,Indiana,180,Brown,130,,White
1990,Missouri,290,New Madrid,1430,,White/Black
1990,Kentucky,210,Carroll,410,,White
1990,Tennessee,470,Obion,1310,,White/Black
