YEAR,STATEFP10,COUNTYFP10,NAME10,CNTYID,STATE_1,GlobD10,GlobG10
2010,2,13,Aleutians East,2013,AK,,Immigrant minority
2010,2,16,Aleutians West,2016,AK,,Immigrant minority
2010,28,107,Panola,28107,MS,,White/Black
2010,28,101,Newton,28101,MS,,White/Black
2010,28,27,Coahoma,28027,MS,,White/Black
2010,22,65,Madison,22065,LA,,White/Black
2010,51,540,Charlottesville,51540,VA,,Immigrant minority
2010,51,510,Alexandria,51510,VA,,Immigrant minority
2010,51,530,Buena Vista,51530,VA,,Immigrant minority
2010,51,600,Fairfax,51600,VA,,Immigrant minority
2010,48,113,Dallas,48113,TX,,Immigrant minority
2010,48,227,Howard,48227,TX,,Immigrant minority
2010,48,155,Foard,48155,TX,,
2010,48,153,Floyd,48153,TX,,
2010,48,43,Brewster,48043,TX,,Immigrant minority
2010,48,159,Franklin,48159,TX,,
2010,48,231,Hunt,48231,TX,,Immigrant minority
2010,48,351,Newton,48351,TX,,White/Black
2010,48,427,Starr,48427,TX,,
2010,48,271,Kinney,48271,TX,,Immigrant minority
2010,48,87,Collingsworth,48087,TX,,
2010,48,451,Tom Green,48451,TX,,Immigrant minority
2010,48,83,Coleman,48083,TX,,Immigrant minority
2010,48,39,Brazoria,48039,TX,,Immigrant minority
2010,48,289,Leon,48289,TX,,
2010,48,131,Duval,48131,TX,,
2010,48,279,Lamb,48279,TX,,
2010,48,343,Morris,48343,TX,,
2010,48,423,Smith,48423,TX,,Immigrant minority
2010,48,239,Jackson,48239,TX,,
2010,48,325,Medina,48325,TX,,Immigrant minority
2010,48,483,Wheeler,48483,TX,,Immigrant minority
2010,48,111,Dallam,48111,TX,,Immigrant minority
2010,48,59,Callahan,48059,TX,,Immigrant minority
2010,48,277,Lamar,48277,TX,,
2010,48,99,Coryell,48099,TX,,Immigrant minority
2010,48,165,Gaines,48165,TX,,Immigrant minority
2010,48,259,Kendall,48259,TX,,Immigrant minority
2010,48,347,Nacogdoches,48347,TX,,Immigrant minority
2010,48,331,Milam,48331,TX,,
2010,48,209,Hays,48209,TX,,Immigrant minority
2010,48,489,Willacy,48489,TX,,
2010,34,17,Hudson,34017,NJ,,Immigrant minority
2010,34,11,Cumberland,34011,NJ,,Immigrant minority
2010,23,19,Penobscot,23019,ME,,Immigrant minority
2010,50,9,Essex,50009,VT,,White
2010,50,11,Franklin,50011,VT,,White
2010,56,1,Albany,56001,WY,,Immigrant minority
2010,56,15,Goshen,56015,WY,,Immigrant minority
2010,56,45,Weston,56045,WY,,White
2010,56,17,Hot Springs,56017,WY,,White
2010,56,39,Teton,56039,WY,,Immigrant minority
2010,56,3,Big Horn,56003,WY,,Immigrant minority
2010,56,27,Niobrara,56027,WY,,White
2010,56,33,Sheridan,56033,WY,,Immigrant minority
2010,56,43,Washakie,56043,WY,,Immigrant minority
2010,56,5,Campbell,56005,WY,,Immigrant minority
2010,56,25,Natrona,56025,WY,,Immigrant minority
2010,50,5,Caledonia,50005,VT,,Immigrant minority
2010,56,31,Platte,56031,WY,,Immigrant minority
2010,56,9,Converse,56009,WY,,Immigrant minority
2010,56,11,Crook,56011,WY,,White
2010,50,1,Addison,50001,VT,,Immigrant minority
2010,56,19,Johnson,56019,WY,,Immigrant minority
2010,56,21,Laramie,56021,WY,,Immigrant minority
2010,50,21,Rutland,50021,VT,,White
2010,50,25,Windham,50025,VT,,Immigrant minority
2010,56,29,Park,56029,WY,,Immigrant minority
2010,50,27,Windsor,50027,VT,,Immigrant minority
2010,50,23,Washington,50023,VT,,Immigrant minority
2010,50,13,Grand Isle,50013,VT,,White
2010,50,15,Lamoille,50015,VT,,White
2010,29,99,Jefferson,29099,MO,,Immigrant minority
2010,29,79,Grundy,29079,MO,,White
2010,29,510,St. Louis,29510,MO,,Immigrant minority
2010,29,93,Iron,29093,MO,,White
2010,29,185,St. Clair,29185,MO,,White
2010,29,37,Cass,29037,MO,,Immigrant minority
2010,29,229,Wright,29229,MO,,White
2010,29,153,Ozark,29153,MO,,White
2010,29,83,Henry,29083,MO,,White
2010,17,9,Brown,17009,IL,,
2010,17,33,Crawford,17033,IL,,White/Black
2010,17,85,Jo Daviess,17085,IL,,White
2010,17,65,Hamilton,17065,IL,,White
2010,17,109,McDonough,17109,IL,,Immigrant minority
2010,17,135,Montgomery,17135,IL,,White/Black
2010,17,41,Douglas,17041,IL,,Immigrant minority
2010,17,181,Union,17181,IL,,Immigrant minority
2010,17,115,Macon,17115,IL,,Immigrant minority
2010,17,201,Winnebago,17201,IL,,Immigrant minority
2010,17,133,Monroe,17133,IL,,White
2010,17,129,Menard,17129,IL,,White
2010,17,83,Jersey,17083,IL,,White
2010,17,171,Scott,17171,IL,,White
2010,17,131,Mercer,17131,IL,,White
2010,17,47,Edwards,17047,IL,,White
2010,17,35,Cumberland,17035,IL,,White
2010,17,197,Will,17197,IL,,Immigrant minority
2010,6,59,Orange,6059,CA,,Immigrant minority
2010,6,103,Tehama,6103,CA,,Immigrant minority
2010,6,11,Colusa,6011,CA,,Immigrant minority
2010,6,83,Santa Barbara,6083,CA,,Immigrant minority
2010,6,51,Mono,6051,CA,,Immigrant minority
2010,6,53,Monterey,6053,CA,,Immigrant minority
2010,49,3,Box Elder,49003,UT,,Immigrant minority
2010,6,61,Placer,6061,CA,,Immigrant minority
2010,6,5,Amador,6005,CA,,Immigrant minority
2010,6,9,Calaveras,6009,CA,,Immigrant minority
2010,6,25,Imperial,6025,CA,,Immigrant minority
2010,37,69,Franklin,37069,NC,,
2010,37,31,Carteret,37031,NC,,Immigrant minority
2010,37,57,Davidson,37057,NC,,Immigrant minority
2010,42,21,Cambria,42021,PA,,White/Black
2010,37,163,Sampson,37163,NC,,
2010,37,101,Johnston,37101,NC,,
2010,37,27,Caldwell,37027,NC,,
2010,42,3,Allegheny,42003,PA,,Immigrant minority
2010,37,153,Richmond,37153,NC,,Immigrant minority
2010,37,123,Montgomery,37123,NC,,Immigrant minority
2010,37,179,Union,37179,NC,,Immigrant minority
2010,37,51,Cumberland,37051,NC,,Immigrant minority
2010,42,1,Adams,42001,PA,,Immigrant minority
2010,42,61,Huntingdon,42061,PA,,White/Black
2010,37,23,Burke,37023,NC,,Immigrant minority
2010,37,97,Iredell,37097,NC,,Immigrant minority
2010,37,63,Durham,37063,NC,,Immigrant minority
2010,42,39,Crawford,42039,PA,,White
2010,42,45,Delaware,42045,PA,,Immigrant minority
2010,37,79,Greene,37079,NC,,
2010,42,35,Clinton,42035,PA,,White
2010,37,143,Perquimans,37143,NC,,White/Black
2010,37,83,Halifax,37083,NC,,White/Black
2010,37,37,Chatham,37037,NC,,Immigrant minority
2010,37,171,Surry,37171,NC,,
2010,42,73,Lawrence,42073,PA,,White/Black
2010,42,93,Montour,42093,PA,,Immigrant minority
2010,37,155,Robeson,37155,NC,,
2010,37,121,Mitchell,37121,NC,,Immigrant minority
2010,42,117,Tioga,42117,PA,,White
2010,42,9,Bedford,42009,PA,,White
2010,37,13,Beaufort,37013,NC,,
2010,42,89,Monroe,42089,PA,,Immigrant minority
2010,42,131,Wyoming,42131,PA,,White
2010,37,127,Nash,37127,NC,,Immigrant minority
2010,42,83,McKean,42083,PA,,White
2010,42,133,York,42133,PA,,Immigrant minority
2010,42,49,Erie,42049,PA,,Immigrant minority
2010,37,67,Forsyth,37067,NC,,Immigrant minority
2010,42,51,Fayette,42051,PA,,White/Black
2010,42,99,Perry,42099,PA,,White
2010,42,85,Mercer,42085,PA,,White/Black
2010,42,33,Clearfield,42033,PA,,White
2010,39,49,Franklin,39049,OH,,Immigrant minority
2010,37,107,Lenoir,37107,NC,,
2010,42,37,Columbia,42037,PA,,Immigrant minority
2010,42,59,Greene,42059,PA,,White/Black
2010,42,53,Forest,42053,PA,,
2010,37,119,Mecklenburg,37119,NC,,Immigrant minority
2010,37,89,Henderson,37089,NC,,Immigrant minority
2010,37,81,Guilford,37081,NC,,Immigrant minority
2010,42,17,Bucks,42017,PA,,Immigrant minority
2010,36,53,Madison,36053,NY,,Immigrant minority
2010,42,11,Berks,42011,PA,,Immigrant minority
2010,2,240,Southeast Fairbanks,2240,AK,,Immigrant minority
2010,2,70,Dillingham,2070,AK,,Other
2010,2,164,Lake and Peninsula,2164,AK,,Immigrant minority
2010,2,185,North Slope,2185,AK,,Immigrant minority
2010,2,105,Hoonah-Angoon,2105,AK,,Immigrant minority
2010,2,150,Kodiak Island,2150,AK,,Immigrant minority
2010,2,230,Skagway,2230,AK,,Immigrant minority
2010,2,188,Northwest Arctic,2188,AK,,Other
2010,2,130,Ketchikan Gateway,2130,AK,,Immigrant minority
2010,2,270,Wade Hampton,2270,AK,,Other
2010,28,145,Union,28145,MS,,
2010,28,53,Humphreys,28053,MS,,White/Black
2010,28,141,Tishomingo,28141,MS,,White/Black
2010,28,87,Lowndes,28087,MS,,Immigrant minority
2010,22,89,St. Charles,22089,LA,,Immigrant minority
2010,22,73,Ouachita,22073,LA,,Immigrant minority
2010,22,7,Assumption,22007,LA,,White/Black
2010,22,27,Claiborne,22027,LA,,White/Black
2010,22,19,Calcasieu,22019,LA,,Immigrant minority
2010,22,1,Acadia,22001,LA,,White/Black
2010,22,79,Rapides,22079,LA,,Immigrant minority
2010,22,127,Winn,22127,LA,,White/Black
2010,22,21,Caldwell,22021,LA,,White/Black
2010,22,29,Concordia,22029,LA,,White/Black
2010,51,610,Falls Church,51610,VA,,Immigrant minority
2010,51,185,Tazewell,51185,VA,,White/Black
2010,51,683,Manassas,51683,VA,,Immigrant minority
2010,51,820,Waynesboro,51820,VA,,Immigrant minority
2010,51,790,Staunton,51790,VA,,Immigrant minority
2010,51,183,Sussex,51183,VA,,White/Black
2010,51,171,Shenandoah,51171,VA,,Immigrant minority
2010,51,750,Radford,51750,VA,,Immigrant minority
2010,48,251,Johnson,48251,TX,,Immigrant minority
2010,48,383,Reagan,48383,TX,,Immigrant minority
2010,48,479,Webb,48479,TX,,
2010,48,417,Shackelford,48417,TX,,Immigrant minority
2010,48,37,Bowie,48037,TX,,Immigrant minority
2010,48,415,Scurry,48415,TX,,
2010,48,261,Kenedy,48261,TX,,Immigrant minority
2010,48,425,Somervell,48425,TX,,Immigrant minority
2010,48,359,Oldham,48359,TX,,
2010,48,441,Taylor,48441,TX,,Immigrant minority
2010,48,269,King,48269,TX,,Immigrant minority
